127.0.0.1 - - [21/Jan/2026:15:12:38 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:12:40 +0530] "GET /jsp_servlet/ HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:25:44 +0530] "GET /jsp_servlet/ HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:26:41 +0530] "GET /jsp_servlet/hello.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:32:47 +0530] "GET /jsp_servlet/ HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:33:33 +0530] "GET /jsp_servlet/userform.jsp HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:34:24 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:36:32 +0530] "GET /jsp_servlet/ HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:36:44 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:36:48 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:36:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:36:49 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:37:20 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:37:23 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:37:25 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:37:29 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:40:23 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:43:20 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:23 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:26 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:27 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:27 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:27 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:27 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:27 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:28 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:28 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:28 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:28 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:28 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:29 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:29 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:44:29 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:45:33 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:45:35 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:46:16 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:46:44 +0530] "GET /jsp_servlet/hello.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:47:33 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:48:47 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:49:28 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:50:08 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [21/Jan/2026:16:50:22 +0530] "GET /jsp_servlet/userForm.jsp HTTP/1.1" 200 1158
